Field Id,Organization,City,State,Latitude,Longitude,Prod Year,Seed Class,Variety,Area,Area Unit,Location,Organization Modified,Variety Modified
Ben1440-2017,FJDP Makurdi,Naka,Benue,7.49615,8.20871,2017,Certified Seed,Dixon,0.8,Ha,"7.49615,8.20871",FJDP,Dixon
21108456,Caritas Gboko,Gboko,Benue,7.19778,8.61194,2017,Certified Seed,TMEB419,1.0,Ha,"7.19778,8.61194",Caritas,TMEB419
21108523,FJDP Makurdi,Naka,Benue,7.48125,8.18938,2017,Certified Seed,TMS-IBA011368,1.1,Ha,"7.48125,8.18938",FJDP,Others
Ben1526-2017,Caritas Gboko,Gboko,Benue,7.44639,9.04361,2017,Certified Seed,Dixon,1.0,Ha,"7.44639,9.04361",Caritas,Dixon
21108667,FJDP Makurdi,Naka,Benue,7.30754,8.07495,2017,Certified Seed,TMEB419,0.7,Ha,"7.30754,8.07495",FJDP,TMEB419
21108670,Caritas Gboko,Juvikyundan,Benue,7.35444,8.77806,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.35444,8.77806",Caritas,Others
21108834,FJDP Makurdi,Naka,Benue,7.51262,8.20103,2017,Certified Seed,TMEB419,0.7,Ha,"7.51262,8.20103",FJDP,TMEB419
21108866,Caritas Gboko,Buruku,Benue,7.62583,9.28389,2017,Certified Seed,TMS-IBA011368,0.7,Ha,"7.62583,9.28389",Caritas,Others
21109034,JDPC Otukpo,Obarike- Ito,Benue,6.93673,8.39039,2017,Certified Seed,TMS-IBA30572,0.52,Ha,"6.93673,8.39039",JDPC,Others
21109052,Caritas Gboko,Gungul,Benue,7.35917,8.63222,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.35917,8.63222",Caritas,Others
21109168,JDPC Otukpo,Obarike- Ito,Benue,6.93673,8.39039,2017,Certified Seed,TMS-IBA011368,0.46,Ha,"6.93673,8.39039",JDPC,Others
21109174,Caritas Gboko,Gungul,Benue,7.36528,8.66917,2017,Certified Seed,TMS-IBA011368,0.7,Ha,"7.36528,8.66917",Caritas,Others
Ben3848-2017,Caritas Gboko,Gungul,Benue,7.19778,8.59528,2017,Certified Seed,Dixon,0.7,Ha,"7.19778,8.59528",Caritas,Dixon
Ben5920-2017,JDPC Otukpo,Obarike- Ito,Benue,7.01382,8.31038,2017,Certified Seed,Fineface,0.59,Ha,"7.01382,8.31038",JDPC,Fineface
21109362,JDPC Otukpo,Obarike- Ito,Benue,7.01382,8.31038,2017,Certified Seed,TMEB419,0.61,Ha,"7.01382,8.31038",JDPC,TMEB419
21109375,Caritas Gboko,Ameladu,Benue,7.52611,9.09278,2017,Certified Seed,TMEB419,0.8,Ha,"7.52611,9.09278",Caritas,TMEB419
21109528,Caritas Gboko,Ikyobo,Benue,7.02806,8.9,2017,Certified Seed,TMS-IBA011368,1.0,Ha,"7.02806,8.9",Caritas,Others
21109541,JDPC Otukpo,Obarike- Ito,Benue,6.94348,8.38571,2017,Certified Seed,TMS-IBA30572,1.0,Ha,"6.94348,8.38571",JDPC,Others
21109671,JDPC Otukpo,Oju Town,Benue,6.94349,8.43851,2017,Certified Seed,TMS-IBA30572,0.42,Ha,"6.94349,8.43851",JDPC,Others
Ben4704-2017,JDPC Otukpo,Oju Town,Benue,6.94349,8.43851,2017,Certified Seed,Fineface,0.49,Ha,"6.94349,8.43851",JDPC,Fineface
21110409,Caritas Gboko,Ikyobo,Benue,7.22639,8.90806,2017,Certified Seed,TMEB419,1.3,Ha,"7.22639,8.90806",Caritas,TMEB419
21110421,JDPC Otukpo,Oju Town,Benue,6.93225,8.43938,2017,Certified Seed,TMEB419,1.0,Ha,"6.93225,8.43938",JDPC,TMEB419
21110693,Caritas Gboko,Ortese,Benue,7.4225,9.10417,2017,Certified Seed,TMEB419,0.7,Ha,"7.4225,9.10417",Caritas,TMEB419
